Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2965500 Meter
Hoehenlage        : 4 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3909500 2965500  1  3  2   1.0  985  55  2.6 8  3.9  93    0    0 312 -321  0
3909500 2965500  1  3  3   0.9  986  45  1.4 8  3.9  92    0    0 311 -320  0
3909500 2965500  1  3  4   0.7  988  46  0.8 8  3.9  93    0    0 310 -319  0
3909500 2965500  1  3  5   0.7  990   8  0.4 7  3.9  94    0    0 304 -318  0
3909500 2965500  1  3  6   0.7  991  37  0.6 8  3.9  94    0    0 303 -318  0
3909500 2965500  1  3  7   0.6  992  37  1.5 8  3.8  94    0    0 308 -318  0
3909500 2965500  1  3  8   0.5  993  47  2.2 8  3.7  93    0    0 308 -317  0
3909500 2965500  1  3  9   0.3  994  66  1.7 8  3.6  91    0    0 307 -316  0
3909500 2965500  1  3 10   0.0  995  57  1.1 7  3.6  91    0   22 300 -316  0
3909500 2965500  1  3 11  -0.2  996  57  1.0 6  3.5  92    7   65 285 -316  0
3909500 2965500  1  3 12  -0.3  996  67  0.6 8  3.5  92    0   49 292 -317  0
3909500 2965500  1  3 13   0.0  997  48  0.9 8  3.5  92    0   45 306 -317  0
3909500 2965500  1  3 14  -0.1  997  48  1.0 7  3.5  92    0   38 300 -317  0
3909500 2965500  1  3 15  -0.3  997  39  1.4 7  3.5  92    0   20 292 -317  0
3909500 2965500  1  3 16  -0.5  997  49  2.0 8  3.5  93    0    6 298 -316  0
3909500 2965500  1  3 17  -0.5  998  38  1.5 8  3.5  93    0    0 302 -313  0
3909500 2965500  1  3 18  -0.4  999  28  1.2 8  3.5  93    0    0 300 -311  0
3909500 2965500  1  3 19  -0.5  999  38  1.3 7  3.5  93    0    0 293 -310  0
3909500 2965500  1  3 20  -0.6  999  21  1.8 8  3.4  93    0    0 291 -308  0
3909500 2965500  1  3 21  -0.9  999   9  2.4 8  3.3  91    0    0 293 -309  0
3909500 2965500  1  3 22  -1.1  999  19  2.9 8  3.2  89    0    0 288 -307  0
3909500 2965500  1  3 23  -1.3 1000  10  2.7 8  3.1  88    0    0 285 -303  0
3909500 2965500  1  3 24  -1.3 1000 360  2.8 8  3.1  88    0    0 283 -301  0
3909500 2965500  1  4  1  -1.6 1001   0  3.3 8  3.0  88    0    0 281 -299  0
3909500 2965500  1  4  2  -1.9 1002   0  3.6 7  3.0  88    0    0 273 -298  0
3909500 2965500  1  4  3  -2.1 1002   0  3.6 8  2.9  88    0    0 270 -298  0
3909500 2965500  1  4  4  -2.5 1003   0  3.4 7  2.8  86    0    0 268 -298  0
3909500 2965500  1  4  5  -2.4 1004   0  4.2 7  2.7  85    0    0 260 -299  0
3909500 2965500  1  4  6  -2.5 1004   0  4.1 8  2.7  83    0    0 265 -299  0
3909500 2965500  1  4  7  -2.8 1005  10  4.4 8  2.6  84    0    0 270 -299  0
3909500 2965500  1  4  8  -2.8 1005  10  4.2 8  2.6  84    0    0 271 -299  0
3909500 2965500  1  4  9  -3.3 1006  10  4.2 8  2.6  85    0    0 271 -300  0
3909500 2965500  1  4 10  -3.1 1007  10  4.3 8  2.6  86    4   33 272 -301  0
3909500 2965500  1  4 11  -3.2 1008  31  4.7 7  2.6  87    2   52 266 -302  0
3909500 2965500  1  4 12  -3.4 1009  31  4.9 7  2.6  86    0   46 258 -305  0
3909500 2965500  1  4 13  -3.7 1009  31  4.4 7  2.5  87    0   47 259 -307  0
3909500 2965500  1  4 14  -3.9 1009  41  4.3 6  2.5  87    0   49 253 -309  0
3909500 2965500  1  4 15  -4.2 1010  41  4.0 5  2.5  88    3   55 241 -309  0
3909500 2965500  1  4 16  -4.6 1010  41  3.5 6  2.4  88    0   22 242 -308  0
3909500 2965500  1  4 17  -4.9 1011  30  3.0 6  2.3  87    0    0 248 -306  0
3909500 2965500  1  4 18  -4.7 1012  41  2.4 5  2.3  87    0    0 244 -304  0
