Koordinatensystem : Lambert konform konisch
Rechtswert        : 3899500 Meter
Hochwert          : 2533500 Meter
Hoehenlage        : 97 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3899500 2533500  1  1  1  -2.2 1012 170  1.7 5  2.8  88    0    0 227 -302  3
3899500 2533500  1  1  2  -2.5 1012 148  1.8 5  2.7  85    0    0 227 -301  3
3899500 2533500  1  1  3  -2.6 1012 154  1.7 4  2.6  83    0    0 231 -301  3
3899500 2533500  1  1  4  -2.4 1011 180  1.3 5  2.6  83    0    0 235 -301  3
3899500 2533500  1  1  5  -2.2 1010 175  1.0 5  2.7  84    0    0 229 -300  3
3899500 2533500  1  1  6  -1.8 1009  78  0.4 7  2.8  84    0    0 241 -299  3
3899500 2533500  1  1  7  -1.5 1009  65  0.7 7  2.9  85    0    0 262 -298  3
3899500 2533500  1  1  8  -1.1 1008 203  0.0 7  2.9  84    0    0 265 -297  3
3899500 2533500  1  1  9  -1.1 1008 140  1.3 7  3.0  84    0    1 268 -297  3
3899500 2533500  1  1 10   0.0 1007 125  2.3 7  3.1  84    0   21 271 -299  3
3899500 2533500  1  1 11   1.1 1006 135  2.2 8  3.1  78    0   44 280 -304  3
3899500 2533500  1  1 12   1.6 1005 129  2.2 8  3.1  74    0   61 287 -310  3
3899500 2533500  1  1 13   2.1 1004 134  2.1 7  3.2  72    0   90 284 -315  3
3899500 2533500  1  1 14   1.9 1003 115  1.4 8  3.1  70    0   71 286 -318  3
3899500 2533500  1  1 15   2.0 1002 147  1.6 8  3.1  70    0   64 294 -319  3
3899500 2533500  1  1 16   1.7 1001 171  1.8 8  3.1  72    0   32 296 -319  3
3899500 2533500  1  1 17   0.8 1001 145  1.9 8  3.1  75    0    2 297 -318  3
3899500 2533500  1  1 18   0.6 1000 241  1.8 8  3.1  78    0    0 297 -316  3
3899500 2533500  1  1 19   0.6 1000 289  1.9 8  3.1  78    0    0 299 -315  3
3899500 2533500  1  1 20   0.9  999 330  2.9 8  3.1  76    0    0 300 -315  3
3899500 2533500  1  1 21   0.9  999 356  1.2 8  3.0  74    0    0 301 -315  3
